"id","url","title","paragraphCount","text","commentCount","comments","type","section","published"
"58ed006ae4b05b487c0e16b8","https://www.theguardian.com/business/2017/apr/11/developing-countries-demands-for-better-life-must-be-met-says-world-bank-head","Developing nations' demands for better life must be met, says World Bank head",0,"<p>Failure to meet the internet-inspired aspirations of people in poor countries runs the risk of creating the conditions for war, terrorism and increased migration, the president of the World Bank has warned.</p> <p>Speaking in London ahead of the Banks spring meeting next week, Jim Yong Kim said an urgent development push was needed in order to meet the demands for a better life by those in developing countries, increasingly aware through their smartphones of how rich people lived.</p>",5,"Developing nations' demands for better life must be met, says World Bank head https://t.co/w71JUzyVlT||Developing nations' demands for better life must be met, says World Bank head - The Guardian… https://t.co/uwA8L4rH7v||Developing nations' demands for better life must be met, says World Bank head             #HVWEconomy… https://t.co/aaVXBHjhQx||Developing countries' demands for better life must be met, says World Bank head https://t.co/zeBkS5qtWe||Trump's Pick for 'Drug Czar' -- A Servant of Big Pharma and Brutal Punisher of Drug Addicts and Poor People in Developing Countries …","article",0,"2017-04-11T17:54:13+00:00"
"58ee1691e4b05b487c0e1ac6","https://www.theguardian.com/politics/2017/apr/12/devon-and-cornwall-pcc-expenses-inquiry-prosecutors","Devon and Cornwall PCC expenses inquiry file sent to prosecutors",0,"<p>Investigators examining whether a police and crime commissioner failed to properly declare expenses during the last general election have referred the matter to the Crown Prosecution Service.</p> <p>The Independent Police Complaints Commissionhas sent the CPS a file on the allegations against Alison Hernandez, the Devon and Cornwall police and crime commissioner. </p>",5,"CPS to consider charges against Conservative police and crime commissioner over election spending… https://t.co/xTBHfDVYmB||Tory police and crime commissioner could face criminal charges over election expenses https://t.co/JrmAtW4FuY via @psbook||A Devon Police and Crime Commissioner expenses probe file about Conservative Alison Hernandez is sent to prosecutors https://t.co/K1c89XdbAl||Devon and Cornwall Police and Crime Commissioner election spending investigation passed to prosecution service

https://t.co/lUqw2JDtCd||CPS probes claim that police commissioner failed to declare 2015 General Election expenses -… https://t.co/S2bugQYzlB","article",0,"2017-04-12T13:51:03+00:00"
"4f133d42-e51e-4938-8795-17882dc54ee8","https://www.theguardian.com/politics/shortcuts/2017/apr/11/deep-england-brexit-britain","This is ‘Deep England’: warm ale, village greens and cheeky milkmen
",0,"<p>Name: Deep England.</p> <p>Born: In the good old days.</p>",5,"This is ‘Deep England’: warm ale, village greens and cheeky milkmen https://t.co/7pGAOTZoU6||theguardian: 'This is ‘Deep England’: warm ale, village greens and cheeky milkmen' https://t.co/0L60BgXlAn||This is ‘Deep England’: warm ale, village greens and cheeky milkmen https://t.co/dJEFSTBrNi||A fun thing about Deep England: Tolkien wanted to invent a mythology, but Wodehouse did it better through Jeeves, Blandings et al.||theguardian: 'This is ‘Deep England’: warm ale, village greens and cheeky milkmen' https://t.co/iqXnMCbs0V","article",0,"2017-04-11T11:57:40+00:00"
"58ed30ade4b05776df18cc33","https://www.theguardian.com/society/2017/apr/11/uk-supreme-court-denies-tobacco-firms-permission-for-plain-packaging-appeal","UK supreme court denies tobacco firms permission for plain packaging appeal",0,"<p>All cigarettes sold in the UK must have standardised packaging from next month after the supreme court refused permission to the tobacco industry to appeal against the new laws.<br /></p> <p>This is the final domestic legal decision, meaning that plain packaging of cigarettes will come into force on 20 May, the Department of Health said. </p>",5,"Concerns #vaping may act as ‘#gateway’ to #cigarette #smoking  
#ProtectOurKids
#Tobacco
#eCigs
@ASHscotland
ASH_LDN
https://t.co/N1x5FqT63w||UK supreme court denies tobacco firms permission for plain packaging appeal https://t.co/YAkhXWD4vT #smoking #health||UK supreme court denies tobacco firms permission for plain packaging appeal https://t.co/bKs5FYByQ3 https://t.co/9BeuKKXGUS||UK supreme court denies tobacco firms permission for plain packaging appeal https://t.co/CAU0qjGwA6 #breakingnews #news||UK supreme court denies tobacco firms permission for plain packaging appeal https://t.co/rtltvJ1Se7 The Guardian World News 

All cigarett…","article",0,"2017-04-11T22:18:18+00:00"
"58ecba99e4b05b487c0e1571","https://www.theguardian.com/technology/2017/apr/11/gordon-ramsay-father-in-law-admits-hacking-company-computers","Gordon Ramsay's father-in-law admits hacking chef's computers",0,"<p>Gordon Ramsays father-in-law and two of his brothers-in-law have admitted hacking computers at the celebrity chefs restaurant and business empire during a time of bitter dispute in the family.</p> <p>Chris Hutcheson and two of his sons  Adam and Chris Jr  pleaded guilty at the Old Bailey on Tuesday to charges of conspiring to cause a computer to access programmes and data without authority.</p>",5,"Gordon Ramsay's father-in-law Chris Hutcheson admits computer hacking https://t.co/VMgChuEhN4 #HeartNews https://t.co/3Sw1MvdL3n||#technews Gordon Ramsay's father-in-law admits hacking chef's computers https://t.co/ovESZZhmac||Is he a Russian or working for NSA? Gordon Ramsay's father-in-law Chris Hutcheson pleads guilty to computer hacking https://t.co/D9KmUnjlhY||Gordon Ramsay's father-in-law Chris Hutcheson pleads guilty to computer hacking: https://t.co/vcjgvScghK https://t.co/w2tcmi8WfQ||NATIONAL NEWS: Gordon Ramsay's father-in-law Chris Hutcheson admits computer hacking https://t.co/JfriOOyKfL","article",0,"2017-04-11T12:44:25+00:00"
"58ed290fe4b05b487c0e1755","https://www.theguardian.com/us-news/2017/apr/11/sean-spicer-hitler-chemical-weapons-holocaust-assad","Sean Spicer apologizes for 'even Hitler didn't use chemical weapons' gaffe",0,"<p>The White House press secretary, Sean Spicer, expressed contrition on national television Tuesday after he was widely condemned for claiming that Adolf Hitler, who gassed millions of Jews during the Holocaust, did not use chemical weapons. </p> <p>Comparing the Nazi leader with Syrias Bashar al-Assad, Spicer told journalists during his regular press briefing at the White House: We didnt use chemical weapons in world war two. You had someone as despicable as Hitler who didnt even sink to using chemical weapons.</p>",5,"Sean Spicer apologizes for claim 'even Hitler didn't use chemical weapons' https://t.co/euhDVhIS2r||I think Spicer got the impression Hitler didn't use chemical weapons from this histrionic Daily Mail headline: https://t.co/UWswpcPGC5||New low for #Spicer: ""Hitler didn't use chemical weapons on his own people."" Bringing #Jews to ""Holocaust Centers"" not as bad as #Assad...||Spicer was probably thinking Hitler didn't use chem weapons on the Allies. His erasure of Jewish suffering didn't come from nowhere, tho.||Wolf Blitzer Grills Sean Spicer on Holocaust: Did You ‘Not Know’ Nazis Used Gas Chambers? https://t.co/S3JSsfzmNA","article",0,"2017-04-12T07:33:14+00:00"
"58d25b06e4b0a411e9ab747f","https://www.theguardian.com/science/2017/mar/22/face-medieval-cambridge-man-emerges-700-years-after-death","Face of Cambridge man brought to life 700 years after his death",0,"<p>The face of a Cambridge man who died more than 700 years ago has been reconstructed as part of a project to gain insights into the anonymous poor of the medieval city.</p> <p>The 13th-century man, known as Context 958 by researchers, was among hundreds whose remains were found in a graveyard under what is now the Old Divinity School of St Johns College.</p>",5,"Face of ‘Ordinary Poor’ Man from Medieval Cambridge Graveyard Revealed https://t.co/BMBa7inX2J||Face of 'ordinary poor' man from medieval Cambridge graveyard revealed https://t.co/QQ5Qi5pTld via @physorg_com||yewwNEWS Face of Cambridge man brought to life 700 years after his death | Scie… https://t.co/AOwUBp6uyE, see more https://t.co/Ue2IiIqto1||Face of 'ordinary poor' man from medieval Cambridge graveyard revealed: New facial reconstructi... https://t.co/HT2wvHXLAv||Face of 'ordinary poor' man from medieval Cambridge graveyard revealed. New facial reconstructi... https://t.co/K0quG2dDfS","article",0,"2017-03-22T12:10:53+00:00"
"58ecb7aee4b05b487c0e1563","https://www.theguardian.com/world/2017/apr/11/national-archives-mi5-file-new-zealand-diplomat-paddy-costello-kgb-spy","MI5 file lays bare case of New Zealand diplomat named as KGB spy",0,"<p>A controversy that has spanned more than seven decades over whether a New Zealand-born Cambridge-educated diplomat and academic was a top Soviet spy has been fuelled by the release of his MI5 file.</p> <p>Desmond Patrick Costello was named by the official MI5 historian, Christopher Andrew, in 1999 in the Mitrokhin Archives as one of the KGBs most important spies in the 1950s when he served as a leading New Zealand diplomat in Paris.</p>",5,"MI5 file lays bare case of New Zealand diplomat named as KGB spy https://t.co/bRFoUZGMFX||MI5 file lays bare case of New Zealand diplomat named as KGB spy https://t.co/yhcZ6mUA2p #World #Peace https://t.co/eH4gQRBk8F||[TheGuardian] MI5 file lays bare case of New Zealand diplomat named as KGB spy https://t.co/rFa7DbKiwh||MI5 file lays bare case of New Zealand diplomat named as KGB spy https://t.co/5hMiuMSRY1||MI5 file lays bare case of New Zealand diplomat named as KGB spy https://t.co/mLXHTnf0Jl #surveillance #privacy #democracy #people #securi…","article",0,"2017-04-11T14:04:12+00:00"
"58d1d356e4b007e8557ee4ea","https://www.theguardian.com/australia-news/2017/mar/22/british-war-veteran-granted-permanent-residency-in-australia-ending-visa-drama","British war veteran granted permanent residency in Australia, ending visa drama",0,"<p>A 92-year-old English second world war veteran and his wife have been granted permanent residency in Australia following a decade of uncertainty. </p> <p>After 10 years in Sydney, James and Peggie Bradley were faced with the threat of being deported back to Britain because James had failed a medical examination and was refused an aged parent visa.</p>",5,"British second world war veteran, 92, facing deportation from Australia - The Guardian https://t.co/HHqZLxOcKz #economy||British second world war veteran, 92, facing deportation from Australia https://t.co/gY4iFto3Ap||Minister intervenes to stop deportation of 92-year-old war veteran James Bradley - The #Sydney Morning Herald https://t.co/MgIVAaz3wo #Aust||British second world war veteran, 92, facing deportation from Australia: James Bradley, who is in the early stages…… https://t.co/Aze4ouL78K||British second world war veteran, 92, facing deportation from Australia https://t.co/dhyDAsm4SI https://t.co/mlAHjQ18j2 Buy #cheapgames","article",0,"2017-03-22T01:54:08+00:00"
"58ecb0b0e4b0e0ec04effd81","https://www.theguardian.com/books/2017/apr/11/x-men-illustrator-alleged-anti-christian-messages-marvel-ardian-syaf","X-Men illustrator faces backlash over alleged anti-Christian messages",0,"<p>An artist who allegedly inserted political and religious messages into an X-Men spinoff comic has apologised, saying his career is over after fans complained about background images in the first issue of X-Men: Gold containing apparent antisemitic and anti-Christian references.</p> <p>On Saturday, publisher Marvel said it would remove the artwork from future versions after readers in Indonesia claimed that some images contained coded messages referring to political and religious tensions in the country. They alleged Indonesian artist Ardian Syaf had sneaked in references to hardline Islamist opposition to Jakarta governor Basuki Tjahaja Purnama, the first Christian governor of the Indonesian capital in half a century.</p>",5,"www dot HeWatchesOver dot me X-Men illustrator faces backlash over alleged anti-Christian messages - The Guardi... https://t.co/8wImOP6Oby||X-Men illustrator faces backlash over alleged anti-Christian messages https://t.co/yJZTjiVxwy||X-Men illustrator faces backlash over alleged anti-Christian messages https://t.co/cScn0ap5nj||#newsbusters New Marvel X-Men Hides Anti-Christian, Anti-Jew Art in Comic https://t.co/68nnrcnpgg||""Marvel Will Discipline Artist Who Sneaked Political Messages Into X-Men"" by LIAM STACK via NYT … https://t.co/vcsutpI2dM","article",0,"2017-04-11T13:22:07+00:00"
