n_iterations,n_topics,alpha,beta,score
50,100,0.8,2,-72150913
100,200,1.2,1.5,-375488475
200,250,2.0,1.1,-941157494
100,50,0.5,2.5,-13955267
50,20,0.2,3.0,-4422217
50,150,5,5,-827090703
50,20,0.5,2.5,-4292051
50,30,0.7,2.2,-7774917
50,25,0.7,3.0,-6023465
50,25,0.5,2.5,-5528792
50,50,0.3,1.5,-8551722
